No.	Question	Response	Context	정답	문서명	answer_judgment	answer_match_percent	context_judgment	context_match_percent	final_judgment	final_match_percent	Result	reason
1	부모님이 임플란트 시술을 하였으며, 임플란트 시술 전에 치조골 이식 수술을 받았습니다. 수술특약으로 치조골 이식 수술에 대한 보험금을 신청하려 하는 데 치조골 이식수술에 대한 보험금 지급관련 판례를 보여 주세요.	치조골 이식 수술에 대한 보험금 지급 관련 판례에 대한 정보는 제공된 컨텍스트에서 확인할 수 없습니다. 추가적인 자료가 필요합니다.	022-대법원 2023. 5. 18. 선고 2022다238800 판결.pdf-1.md, 021-대법원 2021. 2. 4. 선고 2017다281367 판결.pdf-1.md, 019-대법원 1991. 2. 22. 선고 90다11806 판결.pdf-1.md, 020-대법원 2011. 4. 28. 선고 2009다97772 판결.pdf-1.md, 별첨2_분류표_20240401_v1.3.pdf.md, 026-무배당파워변액유니버설종신보험_약관_100401_주계약_변경.pdf-1.md, 판매약관_신한큐브종합건강상해보험(무배당_해약환급금_미지급형)_230404.pdf.md	"수술특약에서 치조골이식수술에 대한 보험금 지급여부 관련 약관 별표 ""수술분류표""에서 골이식 수술 제외(2007년)\n약관상 2007년 이후 가입한 계약은 치조골이식수술에 대한 수술특약에서의 수술급여금 지급 제외\n[수술분류표]\n근골(筋骨)의 수술\n[발정술(拔釘術) 등 내고정물 제거술은 제외함]\n[치(齒) · 치은 ·치근(齒根) ·치조골(齒槽骨)의 처치, 임플란트(Implant) 등 치과 처치 및 수술에 수반하는 것은 제외함]"	docs/대구고등법원 2005. 9. 27. 선고 2004나3957(본소),2004나3964(반소) 판결.pdf.md + 관련 약관	불일치	0	불일치	0	불일치	0	불일치	Response는 질문에 대한 답변을 제공하지 못했으며, 관련 판례나 약관 정보를 포함하지 않았습니다. Context도 기대 문서와 일치하지 않습니다.
2	자살을 하였을 경우, 보험금을 받을 수 있는 경우가 있던데 관련하여 판례가 있나요?	자살과 관련하여 보험금 지급 가능성에 대한 판례가 있습니다. 대법원 2009다97772 판결에 따르면, 상법 제659조 제1항 및 제732조의2에 따라 피보험자가 고의로 자살한 경우 보험자는 보험금을 지급할 책임이 없다고 규정하고 있습니다. 그러나 피보험자가 정신질환 등으로 자유로운 의사결정을 할 수 없는 상태에서 자살한 경우는 면책사유에 해당하지 않는다고 판단합니다. 이와 관련하여 자살자의 정신적 상태, 자살 당시의 상황 등을 종합적으로 고려하여 판단해야 한다는 기준을 제시하고 있습니다.  \n\n또한, 보험 약관에 따라 보장개시일로부터 2년이 지난 후 자살한 경우에는 보험금을 지급한다는 조건이 명시된 사례도 있습니다(예: 신한큐브종합건강상해보험 약관).	020-대법원 2011. 4. 28. 선고 2009다97772 판결.pdf-1.md, 021-대법원 2021. 2. 4. 선고 2017다281367 판결.pdf-1.md, 022-대법원 2023. 5. 18. 선고 2022다238800 판결.pdf-1.md, 판매약관_신한큐브종합건강상해보험_230404.pdf.md, 판매약관_신한큐브종합건강상해보험(무배당_해약환급금_미지급형)_230404.pdf.md, 038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 004-000.주계약약관_(355간편)신한통합건강보장보험원(ONE)(무배당, 해약환급금 미지급형)_20240101_v0.2.pdf-1.md, 005-005.약관_신한라이프놀라운종신보험(무배당, 해약환급금 일부지급형)_20240401_v0.5_중복삭제_맞춤형약관제작.pdf-1.md, 032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md	"약관상 계약일로부터 2년 이내 자살시 보험금 지급 불가하나, 피보험자가 심신상실, 심신박약 으로 인하여 자살 한 경우 보험금 지급 가능함\n판례 기준 : 업무로 인한 극도의 스트레스 등으로 자살한 경우도 보험금 부지급 예외 가능한지 판판\n\n대법원 2011.4.28. 선고 2009다97772판결[보험금] [공2011상.1018]\n대법원 2023.5.18. 선고 2022다238800판결[보험금] [공보불게제]\n대법원 2021.2.4. 선고 2017다281367판결[보험금] [공2021상.479]\n\n기사 : 매일경제 2024.06.05일자 기사 [대법 ""정신병력 없는 자살자도 상황에 따라 보험금 지급해야"" ]"	docs/대법원 2011. 4. 28. 선고 2009다97772 판결.pdf.md / docs/대법원 2023. 5. 18. 선고 2022다238800 판결.pdf.md / docs/대법원 2021. 2. 4. 선고 2017다281367 판결.pdf.md	부분일치	85	부분일치	80	부분일치	84	부분일치 84%	답변은 자살 관련 보험금 지급 가능성에 대한 판례와 조건을 언급했으나, 정답에 명시된 '심신상실, 심신박약' 조건을 명확히 언급하지 않았습니다. 또한, 기대 문서명 중 일부만 포함되어 있어 context 일치도가 낮습니다.
3	보험계약을 신청하였는데, 철회하고 싶습니다. 세부 기준을 알려 주세요	"보험계약 철회는 다음 기준에 따라 가능합니다:  \n\n1. **청약 철회 가능 기간**  \n   - 일반적으로 계약자는 보험증권을 받은 날부터 15일 이내에 청약을 철회할 수 있습니다.  \n   - 통신판매 계약(전화, 우편, 컴퓨터 등의 통신매체를 통한 계약)의 경우, 청약한 날부터 30일 이내에 철회가 가능합니다.  \n   - 만 65세 이상 계약자가 체결한 통신판매 계약의 경우, 청약 철회 가능 기간은 45일로 연장됩니다.  \n\n2. **보험료 반환**  \n   - 청약 철회 시 회사는 청약 철회를 접수한 날부터 3일 이내에 이미 납입한 보험료를 돌려드립니다.  \n   - 신용카드로 납입한 보험료는 매출 취소를 통해 반환되며, 이자는 지급되지 않습니다.  \n\n3. **청약 철회 불가 조건**  \n   - 보험금 지급 사유가 이미 발생했으나 계약자가 그 사실을 알지 못한 경우, 청약 철회의 효력이 발생하지 않습니다.  \n   - 보험기간이 90일 이내인 계약 또는 전문금융소비자가 체결한 계약은 청약 철회가 불가능합니다.  \n\n출처:  \n- ""약관_무배당연금보험프리스타일"" 제2조(청약의 철회)  \n- ""주계약약관_(355간편)신한통합건강보장보험원(ONE)"" 제17조 청약의 철회  \n- ""약관_신한진심을품은변액유니버설종신보험"" 사례2"	037-약관_무배당연금보험프리스타일_20130401_v3.0.pdf-1.md, 002-(무)종신보험표준형_20210101_약관.pdf-1.md, 004-000.주계약약관_(355간편)신한통합건강보장보험원(ONE)(무배당, 해약환급금 미지급형)_20240101_v0.2.pdf-1.md, 006-300060_고객센터 청약철회 업무처리기준.docx-1.md, 038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 036-약관_무배당연금보험프리스타일_20050401.pdf-1.md	보험계약자는 보험증권을 받은 날부터 15일 이내에 보험계약의 청약을 철회할 수 있습니다. 계약자가 전화로신청하거나 철회 의사를 표시하기 위한 서명, 전자우편, 휴대전화 문자메시지 또는 이에 준하는 전자적 의사표시 등을 발송하여 청약 철회를 할 수 있으며, 계약자가 청약을 철회한 때에는 청약의 철회를 접수한 날부터 3영업일 이내에 납입한 보험료를 돌려 드립니다.\n단, 청약한 날부터 30일(만 65세 이상인 계약자가 체결한 통신판매계약의 경우에는 45일)일 초과한 경우 또는 보험기간이 90일 이내인 계약 또는 전문금융소비자가 체결한 계약을 청약 철회가 불가합니다.	docs/300060_고객센터 청약철회 업무처리기준.docx.md	일치	100	부분일치	80	일치	96	일치	응답은 정답의 핵심 내용을 모두 포함하고 있으며, 조건과 예외사항도 정확히 기술되었습니다. 그러나 실제 Context 문서 목록에 기대 문서명이 포함되어 있으나, 다른 문서들도 포함되어 있어 부분일치로 평가됩니다.
4	보험에 가입했는데 언제부터 보장을 받는 건가요?	보험의 보장 개시일은 일반적으로 계약이 성립되고 제1회 보험료를 받은 날부터 시작됩니다. 다만, 회사가 청약과 함께 제1회 보험료를 받은 경우에는 제1회 보험료를 받은 날이 보장 개시일이 됩니다. (출처: 002-(무)종신보험표준형_20210101_약관.pdf-1.md, [보장개시일])	033-약관_(무)S-MORE신한저축보험_110601.pdf-1.md, 037-약관_무배당연금보험프리스타일_20130401_v3.0.pdf-1.md, 002-(무)종신보험표준형_20210101_약관.pdf-1.md, 032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md, 005-005.약관_신한라이프놀라운종신보험(무배당, 해약환급금 일부지급형)_20240401_v0.5_중복삭제_맞춤형약관제작.pdf-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 004-000.주계약약관_(355간편)신한통합건강보장보험원(ONE)(무배당, 해약환급금 미지급형)_20240101_v0.2.pdf-1.md	"가입한 상품의 약관 규정에 따라 일반적으로 보장개시일은 회사가 보장을 개시하는날로서 계약이 성립되고 제1회 보험료를 받은 날을 말하나, 회사가 승낙하기 전이라도 청약과 함께 제1회 보험료를 받은 경우에는 제1회 보험료를 받은 날을 말합니다. 단, 해당 규정에도 불구하고 ""암""및 일부 특정한 질병 보장에 대한 보장개시일은 계약일[부활(효력회복)의 경우 부활(효력회복)일]부터 그 날을 포함하여 90일이 지난 날의 다음날로 합니다."	docs/(무)종신보험표준형_20210101_약관.pdf.md	부분일치	75	일치	100	부분일치	80	부분일치 80%	Response는 일반적인 보장 개시일에 대해 정확히 설명했으나, 암 및 특정 질병 보장에 대한 예외 규정이 누락되었습니다. Context는 기대 문서명을 포함하고 있습니다.
5	2021년 4월 5일에 가입한 종신보험 표준형에 납입한 보험료가 몇 %로 부리되고 있나요?	제공된 문서들에서는 2021년 4월 5일에 가입한 무배당 종신보험 표준형의 부리율에 대한 정보가 명시적으로 포함되어 있지 않습니다. 추가적인 정보를 확인해야 정확한 답변이 가능합니다.	002-(무)종신보험표준형_20210101_약관.pdf-1.md, 023-무배당종신보험_사업방법서_060401.doc-1.md, 판매약관_신한큐브종합건강상해보험_230404.pdf.md, 판매약관_신한큐브종합건강상해보험(무배당_해약환급금_미지급형)_230404.pdf.md, 별첨2_분류표_20240401_v1.3.pdf.md, 011-300227_계약사항 변경 업무기준 요약표.docx-1.md	해당 상품의 장래 경과기간별 책임준비금은 매 경과시점별로 장래의 위험률을 반영한 보험금 지급예상액의 현재가치 금액으로 산출한 값을 매 경과시점에서의 금액으로 산출 적립한 금액입니다.\n기간이 경과할수록 위험률의 증가에 따라 매 경과시점별의 책임준비금이 커져 금액이 특정한 이율로 부리되는 것처럼 보일 수 있습니다. 그러나 해당 상품은 저축, 연금보험과 같이 납입한 보험료 중 일부 금액을 특정이율로 부리 적립하는 상품이 아닙니다.	docs/(무)종신보험표준형_20210101_약관.pdf.md	부분일치	50	부분일치	50	부분일치	50	부분일치 50%	Response는 질문에 대한 명확한 답변을 제공하지 못했으며, 부리율에 대한 정보가 없다고만 언급했습니다. 실제로는 해당 상품이 특정 이율로 부리되지 않는다는 점을 명확히 설명해야 했습니다. 또한, 기대 문서명과 실제 Context 문서명이 일부만 일치합니다.
6	2010년 가입한 종신보험 표준형 계약에서 사망보장을 못받는 때가 있나요?	제공된 컨텍스트에는 2010년 가입한 종신보험 표준형 계약에서 사망보장을 받을 수 없는 조건이나 상황에 대한 명확한 정보가 포함되어 있지 않습니다. 추가적인 세부 약관이나 관련 문서가 필요합니다.	002-(무)종신보험표준형_20210101_약관.pdf-1.md, 011-300227_계약사항 변경 업무기준 요약표.docx-1.md	보험계약이 소멸, 해지되는 경우, 소멸 또는 해지시점이후에는 보장을 받을 수 없습니다.\n또한 보험계약체결 시점에 보험회사가 질문한 사항에 제대로 알리지 않아 계약전 알릴 의무를 소홀히 한 경우, 피보험자, 계약자 및 보험수익자가 고의로 피보험자를 해친 경우 및 뚜렸한 사기의사에 의하여 보험계약을 한 경우에는 보험금 지급이 제한 되거나 거절될 수 있습니다.	docs/무배당종신보험표준형_약관_060401.pdf.md 또는 docs/(무)종신보험표준형_20210101_약관.pdf.md	부분일치	50	일치	100	부분일치	80	부분일치 80%	Actual Response는 사망보장을 못 받는 조건에 대해 명확히 답변하지 않고 추가 문서가 필요하다고만 언급하여 핵심 내용을 일부 놓쳤습니다. 그러나 Context는 기대 문서명과 일치합니다.
7	종신보험 표준형에 가입하여 은행에 다니는 직장인인데 보험가입할 때 보니 제가 전문보험계약자라 합니다. 일반계약자가 아니라 전문보험계약자라 하는 근거가 뭔가요?	보험업법 제2조(정의) 19호에 따르면, '전문보험계약자'는 보험계약에 관한 전문성, 자산규모 등을 고려하여 보험계약 내용을 이해하고 이행할 능력이 있는 자로 정의됩니다. 전문보험계약자는 국가, 한국은행, 대통령령으로 정하는 금융기관, 주권상장법인, 그 밖에 대통령령으로 정하는 자를 포함합니다. 따라서 귀하가 전문보험계약자로 분류된 것은 이러한 기준에 부합하기 때문일 가능성이 있습니다.	002-(무)종신보험표준형_20210101_약관.pdf-1.md, 032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md, 027-별첨1_약관 내용 중 법 관련 인용 조문_240610.pdf-1.md, 023-무배당종신보험_사업방법서_060401.doc-1.md	1) 보험업법 제2조 중 관련 주요 규정\n제2조(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다.\n19. “전문보험계약자”란 보험계약에 관한 전문성, 자산규모 등에 비추어 보험계약의 내용을 이해하고 이행할 능력이 있는 자로서 다음 각 목의 어느 하나에 해당하는 자를 말한다. 다만, 전문보험계약자 중 대통령령으로 정하는 자가 일반보험계약자와 같은 대우를 받겠다는 의사를 보험회사에 서면으로 통지하는 경우 보험회사는 정당한 사유가 없으면 이에 동의하여야 하며, 보험회사가 동의한 경우에는 해당 보험계약자는 일반보험계약자로 본다.\n  가. 국가\n  나. 한국은행\n  다. 대통령령으로 정하는 금융기관\n  라. 주권상장법인\n  마. 그 밖에 대통령령으로 정하는 자\n20. “일반보험계약자”란 전문보험계약자가 아닌 보험계약자를 말한다.	docs/별첨1_약관 내용 중 법 관련 인용 조문_240610.pdf.md	일치	100	일치	100	일치	100	일치	Response는 보험업법 제2조 19호의 전문보험계약자 정의를 정확히 설명하였고, Context 문서도 기대 문서명과 일치합니다.
8	2021년 4월 5일에 가입한 종신보험 표준형 해약환급금이 납입한 보험료보다 적게 나왔습니다. 산출 근거가 무엇인가요?	제공된 문서 내용에는 종신보험 표준형의 해약환급금이 납입한 보험료보다 적게 산출되는 이유나 구체적인 산출 근거에 대한 정보가 포함되어 있지 않습니다. 추가적인 문서나 정보가 필요합니다.	002-(무)종신보험표준형_20210101_약관.pdf-1.md, 023-무배당종신보험_사업방법서_060401.doc-1.md, 001-(무)종신보험표준형_20210101_산출방법서.doc-1.md	해약환급금은 책임준비금에서 미상각신계약비를 공제한 금액으로 산출합니다. 미상각신계약비는 납입기간과 7년 중 작은 기간 동안 공제하며 해당 기간 이후의 해약환급금은 책임준비금과 동일합니다.\n다만, 책임준비금은 산출방법서의 정의에 따라 보험계약일 이후 매 경과시점별로 장래의 위험률은 반영한 보험금 지급예상액의 현재가치 금액으로 산출되며 이 금액은 납입한 보험료 누계액보다 적을 수 있습니다.	docs/(무)종신보험표준형_20210101_약관.pdf.md	부분일치	50	부분일치	50	부분일치	50	부분일치 50%	답변이 질문의 핵심인 해약환급금 산출 근거를 명확히 설명하지 못했으며, 관련 문서도 일부만 일치합니다.
9	어머니께서 2010년에 종신보험 표준형에 가입하셨는데, 치매 검사를 했더니 치매가 약간 있다고 합니다. CDR척도 검사시 2점을 받았습니다. 치매 진단으로 장해보험금을 받을 수 있나요? 얼마를 받나요?	"어머니께서 CDR 척도 검사에서 2점을 받으셨다면, 이는 ""약간의 치매""로 분류되며, 장해보험금 지급률은 40%입니다. 해당 내용은 문서 ""별첨2_분류표_20240401_v1.3.pdf.md""의 ""신경계․정신행동 장해 > 가. 장해의 분류"" 섹션에서 확인되었습니다."	판매약관_신한큐브종합건강상해보험_230404.pdf.md, 판매약관_신한큐브종합건강상해보험(무배당_해약환급금_미지급형)_230404.pdf.md, 별첨2_분류표_20240401_v1.3.pdf.md, 035-약관_(무)신한유니버설종신보험_080312.pdf-1.md, 026-무배당파워변액유니버설종신보험_약관_100401_주계약_변경.pdf-1.md	"치매 진단(CDR척도 2점)으로 장해 등급을 받을 수는 있습니다. 이 경우 장해 지급률은 40% 입니다\n다난, 주계약에서는 장해급여금에 대한 보장내용이 없으므로 보험기간 중 치매의 진단으로 장해급여금을 받을 수는 없습니다.\n또한 재해장해특약에서의 장해급여금 지급사유는 ""재해를 원인으로""라고 되어 있어 치매의 발생을 재해로 볼 수 없음에 따라 재해장해특약에서도 재해장해급여금의 지급은 불가합니다."	docs/무배당종신보험표준형_약관_060401.pdf.md 또는 docs/(무)종신보험표준형_20210101_약관.pdf.md	불일치	0	불일치	0	불일치	0	불일치	Response는 장해보험금 지급 가능성을 언급했으나, 실제로는 주계약 및 재해장해특약에서 치매로 인한 장해급여금 지급이 불가하다는 점을 명확히 설명하지 않았습니다. 또한, Context 문서가 기대 문서와 일치하지 않습니다.
10	신한유니버설종신보험 월대체공제 기준은 어떻게 되나요?	제공된 컨텍스트에는 신한유니버설종신보험의 월대체공제 기준에 대한 정보가 포함되어 있지 않습니다. 추가 정보를 확인해야 합니다.	026-무배당파워변액유니버설종신보험_약관_100401_주계약_변경.pdf-1.md, 029-사업방법서_(무)신한유니버설종신보험_080312.pdf-1.md	제13조【월대체보험료 공제】\n① 월납계약의 경우 보험료 납입경과기간 2년(24회 납입)까지는 해당월 기본보험료(특약이 부가된 경우 특약보험료 포함) 납입시에 월대체보험료를 공제하며 보험료 납입경과기간 2년(24회 납입) 이후에는 매월 계약해당일에 해약환급금(보험계약대출원리금을 차감한 금액 기준)에서 월대체보험료를 공제합니다. 단, 보험료 납입경과기간 2년(24회 납입) 이내에도 해당월 기본 보험료 (특약이 부가된 경우 특약보험료 포함)를 해당월 계약해당일 이전에 납입한 경우에는 월대체보험료를 해당월 계약해당일에 계약자적립금에서 공제합니다.	약관_(무)신한유니버설종신보험_080312.pdf	불일치	0	부분일치	50	불일치	10	불일치	답변이 질문에 대한 핵심 정보를 제공하지 못했으며, 컨텍스트 문서도 기대 문서명과 일부만 일치합니다.
11	신한유니버설종신보험 현재 납입하는 보험료가 부담됩니다.  보험료를 적게 낼 수 있는 방법이 있나요?	신한유니버설종신보험의 보험료를 적게 낼 수 있는 방법으로는 다음과 같은 옵션이 있습니다:  \n\n1. **보험가입금액 감액**: 계약자는 회사의 승낙을 얻어 보험가입금액을 감액할 수 있습니다. 이 경우 감액된 부분은 해지된 것으로 간주되며, 이에 따른 해약환급금이 지급될 수 있습니다. (출처: 035-약관_(무)신한유니버설종신보험_080312.pdf-1.md, 제6조 【 계약내용의 변경 】)  \n\n2. **고액계약 할인**: 월납의 경우 주보험 보험가입금액이 3,000만 원 이상일 때 제2회 이후 기본보험료에 대해 보험료 할인이 적용됩니다. 할인율은 보험가입금액에 따라 1.0%에서 최대 2.5%까지 가능합니다. (출처: 029-사업방법서_(무)신한유니버설종신보험_080312.pdf-1.md, 13. 고액계약할인에 관한 사항)  \n\n이 외의 방법이나 추가적인 할인 조건은 제공된 문서에 명시되어 있지 않습니다.	029-사업방법서_(무)신한유니버설종신보험_080312.pdf-1.md, 035-약관_(무)신한유니버설종신보험_080312.pdf-1.md	납입하는 보험료를 줄이는 방법은 약관의 규정에 따라 1. 보험가입금액을 감액 또는 기본보험료의 감액 과 2. 유니버설종신보험의 특성에 따른 자유납을 활용하는 방법이 있습니다.\n1. 보험가입금액을 감액하는 경우, 감액 시점 이후부터 감액된 가입금액에 따른 낮아진 보험료를 납입기간 동안 납입할 수 있습니다.\n2. 유니버설종신보험은 의무납입기간 이후에는 납입하는 보험료 수준을 자유롭게 정하여 납입하거나 월대체를 활용하여 보험료를 납입하지 아니할 수 있습니다. 단, 이러한 경우 계약자적립액이 감소하게 되어 계약이 해지될 수 있습니다.	약관_(무)신한유니버설종신보험_080312.pdf	부분일치	75	부분일치	90	부분일치	78	부분일치 78%	Response는 보험료를 줄이는 방법 중 '보험가입금액 감액'과 '고액계약 할인'을 언급했으나, '자유납'과 '월대체' 옵션을 포함하지 않아 정답의 핵심 내용을 일부 누락했습니다. Context는 관련 문서를 포함했으나, 기대 문서명과 정확히 일치하지 않습니다.
12	신한유니버설종신보험 가입후 월대체로 계약을 유지하는데 보장은 종신까지 받을 수 있나요?	제공된 문서 내용에서는 신한유니버설종신보험의 월대체 계약 유지 시 보장이 종신까지 가능한지에 대한 명확한 정보가 포함되어 있지 않습니다. 추가적인 근거가 필요합니다.	035-약관_(무)신한유니버설종신보험_080312.pdf-1.md, 038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 023-무배당종신보험_사업방법서_060401.doc-1.md, 판매약관_신한큐브종합건강상해보험_230404.pdf.md, 판매약관_신한큐브종합건강상해보험(무배당_해약환급금_미지급형)_230404.pdf.md	유니버설종신보험에서 보험료를 납입하지 않고 월대체를 하게 되면 회사는 계약자적립액에서 월대체공제 금액을 매월 공제합니다. 따라서 계약자적립액은 매월 감소할 수 있습니다. 이러한 경우 장래 계약자적립액이 소진되어 약관의 규정에 따라 계약이 해지될 수 있습니다.	약관_(무)신한유니버설종신보험_080312.pdf	부분일치	60	부분일치	80	부분일치	64	부분일치 64%	Response는 질문에 대한 명확한 답변을 제공하지 못했으며, 월대체 시 계약자적립액 소진 가능성과 계약 해지 가능성을 언급하지 않았습니다. Context는 관련 문서를 일부 포함하지만, 기대 문서명이 명확히 포함되지 않았습니다.
13	신한유니버설종신보험 주계약보험료를 처음에는 20만원 내다가 나중에 더 적게 낼 수 있나요?	신한유니버설종신보험의 경우, 보험료 납입경과기간 2년(24회 납입) 이후부터는 해약환급금에서 월대체보험료를 충당할 수 있을 경우 기본보험료를 납입하지 않아도 됩니다. 또한, 2년 이후부터는 보험료를 납입 한도 내에서 자유롭게 납입할 수 있습니다. (출처: 029-사업방법서_(무)신한유니버설종신보험_080312.pdf-1.md, 7. 월납계약의 보험료 납입에 관한 사항)	010-300200_법인계약 고객센터 상담 기준.docx-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 007-300138_라이프앱가능업무.docx-1.md, 026-무배당파워변액유니버설종신보험_약관_100401_주계약_변경.pdf-1.md, 029-사업방법서_(무)신한유니버설종신보험_080312.pdf-1.md	계약자는 의무납입기간 이내에는 기본보험료(20만원)을 납입하여야 하며, 의무납입기간 이후부터는 해약환급금(보험계약대출 원리금을 차감한 금액 기준)에서 월대체보험료를 충당할 수 있을 경우 기본보험료를 납입하지 않거나 자유롭게 납입할 수 있습니다.	약관_(무)신한유니버설종신보험_080312.pdf	일치	100	부분일치	80	일치	96	일치	답변이 정답의 핵심 내용을 정확히 포함하고 있으며, 문서명은 일부 유사하지만 관련성이 높아 부분일치로 평가됩니다.
14	신한유니버설종신보험에서 사망시 사망보험금은 어떻게 산출됩니까?	신한유니버설종신보험에서 사망 시 지급되는 사망보험금은 기본보험금액과 변동보험금액의 합계액으로 산출됩니다. 기본보험금액은 기본사망보험금, 이미 납입한 보험료, 계약자적립금의 110% 금액 중 가장 큰 금액으로 결정됩니다. 기본사망보험금은 보험가입금액에서 중도인출금액을 차감하고 추가납입보험료를 합산한 금액으로 산출되며, 보험가입금액을 최고한도로 합니다. 변동보험금액은 계약자적립금이 예정최저적립금을 초과하는 경우 그 차액을 기준으로 계산됩니다. (출처: 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1, 제15조 【 보험금액 】)	034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 035-약관_(무)신한유니버설종신보험_080312.pdf-1.md, 029-사업방법서_(무)신한유니버설종신보험_080312.pdf-1.md, 018-대구고등법원 2005. 9. 27. 선고 2004나3957(본소),2004나3964(반소) 판결.pdf-1.md, 038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 판매약관_신한큐브종합건강상해보험_230404.pdf.md	신한유니버설종신보험의 사망보험금은 사망한 때의 아래 2개의 각각 산출된 금액을 더하여 지급합니다.\n 사망보험금 : 기본보험금액 + 변동보험금액\n 주) 기본보험금액은 기본사망보험금과 이니 납입한 보험료(단, 특약보험료는 제외) 그리고 주계약적립금의 110% 금액 중 가장 근 금액을 말합니다.\n      변동보험금액은 계약자적립금과 예정최저적립금과의 차이에 의하여 증감되는 보험금액으로 유효한 보험계약에 대하여 매월 계약해당일마다 계산하여 다음 월단위 계약해당일까지 1개월간 확정 적용합니다.	약관_(무)신한유니버설종신보험_080312.pdf	일치	100	부분일치	80	일치	96	일치	Response는 정답의 핵심 내용을 정확히 포함하고 있으며, 조건과 세부 사항도 충실히 설명되었습니다. 그러나 Context 문서명 중 일부가 기대 문서명과 정확히 일치하지 않아 부분일치로 평가됩니다.
15	신한유니버설종신보험 해약환급금이 처음 가입시 제공한 해약환급금 예시표에 비하여 크게 떨어집니다.  이유가 무엇인가요?	제공된 문서에서는 신한유니버설종신보험의 해약환급금이 예시표와 다르게 산출되는 이유에 대한 구체적인 정보가 포함되어 있지 않습니다. 추가적인 자료가 필요합니다.	판매약관_신한큐브종합건강상해보험_230404.pdf.md, 029-사업방법서_(무)신한유니버설종신보험_080312.pdf-1.md	계약자는 계약일 이후 계약이 소멸하기 전에 언제든지 해약을 할 수 있으며, 회사는 이 때 보험료 및 책임준비금 산출방법서에 따라 계산된 해약환급금을 지급합니다. 해약환급금은 납입한 보험료 중 월 공제액을 제외한 저축보험료(=적립부분순보험료)를 이 상품의 공시이율을 적용하여 계약자적립액을 산출합니다. 이 때 공시이율이 변경될 경우에는 변경된 날부터 변경된 공시이율을 기준으로 적용합니다.\n가입당시 제공한 해약환급금 예시표는 가입당시 적용중이던 공시이율이 장래 변동이 없는 가정하에 산출한 안내표이며, 실제의 해약환급금은 약관의 규정에 따라 공시이율이 변경된 경우 변경된 공시이율을 적용하므로 실제의 해약환급금은 제공된 예시표와 다를 수 있습니다.	약관_(무)신한유니버설종신보험_080312.pdf	불일치	0	부분일치	50	불일치	10	불일치	답변이 질문에 대한 핵심적인 이유를 제공하지 못했으며, 관련 문서도 일부만 포함되어 있어 정확한 정보를 제공하지 못했습니다.
