no	Question	Response	Context
15	신한유니버설종신보험 해약환급금이 처음 가입시 제공한 해약환급금 예시표에 비하여 크게 떨어집니다.  이유가 무엇인가요?	가입 시 받은 **해약환급금 예시표보다 실제 해약환급금이 크게 낮아질 수 있는 이유**로, 약관상 확인되는 것은 **해약환급금 계산에 적용되는 공시이율이 변동될 수 있기 때문**입니다.\n\n근거:\n- **`034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md` / `제21조 【 해약환급금 】`**\n  - 해약환급금은 **보험료 및 책임준비금 산출방법서에 따라 계산**\n  - **공시이율이 변경되면 변경된 날부터 변경된 공시이율을 기준으로 적용**\n  - 공시이율은 **연복리 3.75% 최저보증**\n- **`035-약관_(무)신한유니버설종신보험_080312.pdf-1.md` / `제21조 【 해약환급금 】`**\n  - 동일하게 **공시이율 변경 시 변경된 이율 적용**\n  - 공시이율은 **연복리 4.0% 최저보증**\n- **`034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md` / `제9조 【 해약환급금 】`**\n  - 공시이율 변경 시 **변경된 날부터 변경된 공시이율 적용**\n  - **최저보증이율은 10년 이내 3%, 10년 초과 2.0%**\n\n즉, 예시표는 당시 기준 이율로 제공되었더라도, 이후 **공시이율이 내려가면 실제 해약환급금도 예시보다 낮아질 수 있습니다.**\n\n다만, **“왜 크게 떨어졌는지”의 구체적인 개별 계약 사유**(예: 실제 적용 공시이율 변동 내역, 납입 상태 등)는 제공된 약관 내용만으로는 확인할 수 없습니다.\n\nSTATUS: insufficient	005-005.약관_신한라이프놀라운종신보험_무배당_ 해약환급금 일부지급형__20240401_v0.5_중복삭제_맞춤형약관제작.md, 004-.주계약약관__355간편_신한통합건강보장보험원_ONE__무배당_ 해약환급금 미지급형__20240101_v0.2.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 035-약관_(무)신한유니버설종신보험_080312.pdf-1.md, 038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md
16	신한유니버설종신보험에 가입하여 유지중입니다. 감액 이후에 이미납입한 보험료는 어떻게 산출하나요?	신한유니버설종신보험 약관의 **「감액이후의 이미 납입한보험료」** 항목에 따르면, 감액 이후 이미 납입한 보험료는 아래와 같이 산출됩니다.\n\n**산식**  \n감액 이후 이미 납입한 보험료 = **감액직전 이미 납입한 보험료 × (감액후 계약자적립금 / 감액전 계약자적립금)**\n\n근거:\n- `035-약관_(무)신한유니버설종신보험_080312.pdf-1.md` > `감액이후의 「 이미 납입한보험료 」`\n- `034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md` > `감액이후의 「 이미 납입한보험료 」`\n\n추가로 약관에는,  \n**“감액직전 이미 납입한 보험료”**는 감액 전 중도인출이나 이전 감액이 있었던 경우, 해당 약관 기준에 따라 다시 계산된 금액을 말한다고 되어 있습니다.\n\n참고로 유사 예시 문서에서는:\n- 감액전 이미 납입한 보험료 200만원\n- 감액전 계약자적립금 150만원\n- 감액후 계약자적립금 100만원\n\n이면,\n\n**감액후 이미 납입한 보험료 = 200만원 × 100만원 / 150만원 = 약 133만원** 입니다.	035-약관_(무)신한유니버설종신보험_080312.pdf-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 001-(무)종신보험표준형_20210101_산출방법서.doc-1.md, 무배당파워변액유니버설종신보험_약관_100401_주계약_변경_new.md, 024-무배당종신보험표준형_산출방법서_060401.doc-1.md, 029-사업방법서__무_신한유니버설종신보험_080312.md
17	신한유니버설종신보험 해약환급금 신청하여 환급금이 발생하였으나 아직 청구하지 않은 상황입니다. 일정기간이 지나서 청구하는 경우 지급이자는 어떻게 계산이 되나요?	질문과 일치하는 상품 문맥을 찾지 못했습니다.	033-약관_(무)S-MORE신한저축보험_110601.pdf-1.md, 판매약관_신한큐브종합건강상해보험(무배당_해약환급금_미지급형)_230404.pdf.md, 032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md, 판매약관_신한큐브종합건강상해보험_230404.pdf.md
18	신한유니버설종신보험 보험료 의무 납입기간 경과 이후에도 보험료 선납이 가능한가요? 만약에 가능하다면 선납가능한 보험료와 선납시 적용되는 이율을 알려주세요.	STATUS: insufficient\n\n제공된 약관 근거(문서명: `034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md`, 위치: `제7조 【 특약 보험료의 납입 】`)에서는  \n- 특약 보험료는 주계약의 보험료 납입기간 중 주계약 보험료와 함께 납입해야 하고,\n- 주계약 보험료를 선납하는 경우에도 같다고만 되어 있습니다.\n\n하지만 질문하신\n1. 의무 납입기간 경과 이후에도 선납 가능한지,\n2. 선납 가능한 보험료의 범위,\n3. 선납 시 적용 이율\n\n에 대해서는 제공된 context에 직접적인 내용이 없습니다. 따라서 이 근거만으로는 확인할 수 없습니다.	031-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_사업방법서_161004.pdf-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md
19	연금보험 프리스타일에 가입하여 연금개시후 종신형 연금 보증지급기간 안에 피보험자가 사망하면 일시금 지급이 가능한가요?	가능합니다.\n\n근거:\n- **`009-300197_제지급_우편.docx-1.md` > `3) 연금 지급 중 연금 일시금 신청 시 구비서류`** 에서  \n  **종신연금형**의 처리기준을  \n  **“해지 불가 (잔여 보증지급분 선지급 후 계약유지)”**라고 명시하고 있습니다.\n- 따라서 **연금개시 후 종신형 연금의 보증지급기간 안에 피보험자가 사망한 경우**, 남은 **보증지급분을 일시금으로 선지급**하는 처리가 가능합니다.\n\n다만,\n- 같은 문서에 **“장수축하금은 선지급 불가”**라고 되어 있어, 해당 항목은 일시금 선지급 대상이 아닙니다.	009-300197_제지급_우편.docx-1.md, 037-약관_무배당연금보험프리스타일_20130401_v3.0.pdf-1.md, 036-약관_무배당연금보험프리스타일_20050401.pdf-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 011-300227_계약사항 변경 업무기준 요약표.docx-1.md
20	연금보험 프리스타일은 생존연금액 계산시 이율은 얼마인가요?	무배당 연금보험 프리스타일의 **생존연금액 계산 시 적용 이율**은 **매월 1일 회사가 정한 공시이율**입니다.\n\n근거:\n- **문서명**: `037-약관_무배당연금보험프리스타일_20130401_v3.0.pdf-1.md`\n- **위치**: `제19조(공시이율의 적용 및 공시)`\n- **내용**: “이 보험의 책임준비금 및 **연금액 계산시 적용되는 이율은 매월 1일 회사가 정한 이 보험의 공시이율**로 합니다.”\n\n추가로, **최저보증이율**은 다음과 같습니다.\n- 가입 후 **10년 이하**: **연복리 2.5%**\n- 가입 후 **10년 초과**: **연복리 1%**	037-약관_무배당연금보험프리스타일_20130401_v3.0.pdf-1.md, 001-(무)종신보험표준형_20210101_산출방법서.doc-1.md, 036-약관_무배당연금보험프리스타일_20050401.pdf-1.md, 033-약관_(무)S-MORE신한저축보험_110601.pdf-1.md, 011-300227_계약사항 변경 업무기준 요약표.docx-1.md
21	연금보험 프리스타일에서 말하는 추가납입은 무엇을 의미하고 언제부터 추가납입이 가능하고 보험기간은 어떻게 되나요?	STATUS: insufficient\n\n제공된 근거만으로 확인되는 내용은 다음뿐입니다.\n\n- **추가납입의 의미**\n  - 프리스타일 연금보험에서 기존의 **추가납입특약이 2005.7.1.부터 증액보험료로 변경**되었다고 되어 있습니다.\n  - 또한 **2011.4.1. 이후 계약은 기본보험료 증액이 불가하고, 월정기추가납입으로 변경되며 수시추가납입이 가능**하다고 나와 있습니다.\n  - 다만, “추가납입”의 정의를 문서가 직접 설명하고 있지는 않습니다.\n\n- **언제부터 추가납입 가능 여부**\n  - 2011.4.1. 이후 계약은 **월정기추가납입으로 변경되고 수시추가납입 가능**이라고 확인됩니다.\n  - 한편 2011.4.1. 이전 가입 프리스타일 연금보험에 대해서는 **계약일로부터 증액은 1년 경과된 유지계약부터 가능**하다고 되어 있습니다.\n  - 다만 이것이 질문하신 “추가납입 가능 시점”과 동일 의미인지 문맥상 완전히 단정하기는 어렵습니다.\n\n- **보험기간**\n  - 제공된 근거에는 **보험기간에 대한 정보가 없습니다.**\n\n근거:\n- `011-300227_계약사항 변경 업무기준 요약표.docx-1.md` / `② 세부업무기준`	011-300227_계약사항 변경 업무기준 요약표.docx-1.md, 038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 036-약관_무배당연금보험프리스타일_20050401.pdf-1.md, 037-약관_무배당연금보험프리스타일_20130401_v3.0.pdf-1.md, 035-약관_(무)신한유니버설종신보험_080312.pdf-1.md
22	무)파워변액유니버설종신보험에서 자산을 운용함에 있어 일반계정과 특별계정으로 나누어서 관리한다고 하는데, 무슨뜻인가요?	무)파워변액유니버설종신보험에서 말하는 뜻은, **보험료와 자산을 한 계정으로만 관리하지 않고 `일반계정`과 `특별계정`으로 구분해 따로 관리·회계처리한다**는 의미입니다.\n\n- **일반계정**: 계약자가 납입한 보험료를 회계처리하기 위한 계정입니다. 회사는 **특별계정과 구분하여 재산을 관리하고 회계처리**합니다.  \n  - 근거: `038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md` / `6. 변액보험 관련 용어`, `일반계정`\n\n- **특별계정**: **계약자적립금의 전부 또는 일부를 다른 재산과 구별하여 운용하기 위한 계정**입니다. 변액보험처럼 상품의 운용방식이 일반상품과 크게 달라서, **다른 보험상품과 구분해 별도로 관리·운용**하도록 한 것입니다. 목적은 **계정 상호간 계약자 보호**입니다.  \n  - 근거: 같은 문서 / `특별계정`\n\n또한 변액보험은 **납입한 보험료의 일부로 자금을 조성해 특별계정으로 운영하고, 그 운용실적에 따라 투자이익이 배분되어 보험금이나 계약자적립금 등이 변동**할 수 있다고 되어 있습니다.  \n- 근거: 같은 문서 / `6. 변액보험 관련 용어`\n\n즉, 쉽게 말하면  \n**안정적으로 회계처리·관리하는 부분은 일반계정**,  \n**투자실적에 따라 적립금 등이 변동하는 부분은 특별계정**으로 나누어 관리한다는 뜻입니다.	038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 027-별첨1_약관 내용 중 법 관련 인용 조문_240610.pdf-1.md, 무배당파워변액유니버설종신보험_약관_100401_주계약_변경_new.md
23	무)파워변액유니버설종신보험 변액상품을 가입하였는데 펀드 설정이 귀찮습니다. 알아서 하는 방법은 없나요?	약관상으로는 **계약자가 펀드의 자산운용방법에 직접 관여할 수 없고**, 특별계정에서 분리 운용되며 운용실적이 계약자적립금에 반영되는 구조입니다.  \n다만, 질문하신 **“펀드 설정을 직접 하지 않고 회사가 알아서 운용해 주는 방법”**이 있는지는 제공된 근거만으로는 확인되지 않습니다.\n\n- 근거:\n  - **무배당파워변액유니버설종신보험_약관_100401_주계약_변경_new.md / 제4관 특별계정에 관한 사항 / 제23조 [펀드의 운용 및 평가]**\n    - “변액보험의 펀드는 특별계정별로 … 독립적으로 운용”\n    - “계약자는 특별계정의 자산운용방법에 대해서는 일체의 관여를 할 수 없습니다.”\n  - **같은 문서 / 제22조 [계약자적립금의 계산]**\n    - 특별계정 운용실적이 계약자적립금에 반영됨\n\n**STATUS: insufficient**  \n제공된 context에는 자동 펀드배분, 디폴트 펀드, 회사 일임운용 가능 여부에 대한 조항이 없습니다.	038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 027-별첨1_약관 내용 중 법 관련 인용 조문_240610.pdf-1.md, 무배당파워변액유니버설종신보험_약관_100401_주계약_변경_new.md
24	무)파워변액유니버설상품을 가입하였는데, 사망한 경우는 보험금을 주나요?	STATUS: insufficient\n\n제공된 근거만으로는 **“무)파워변액유니버설상품”의 사망보험금 지급 여부를 명확히 확인할 수 없습니다.**\n\n근거:\n- 제공된 문서는 **`판매약관_신한큐브종합건강상해보험(무배당_해약환급금_미지급형)_230404.pdf.md`**로, 질문하신 **“무)파워변액유니버설상품”**과 상품명이 다릅니다.\n- 해당 문서의 `header_path=2. 이 특약의 피보험자가 특약보험기간 중 사망하였을 경우`에는  \n  **“피보험자가 특약보험기간 중 사망한 경우 회사가 적립한 사망당시의 계약자적립액을 계약자에게 지급”**한다는 내용이 있으나, 이는 질문하신 상품에 그대로 적용된다고 볼 수 없습니다.\n- `header_path=1. 실종선고를 받은 경우`에는 사망 인정 시점 기준만 나와 있습니다.\n\n따라서 **질문하신 상품의 약관 또는 해당 상품의 사망 관련 보장 조항이 추가로 필요합니다.**	판매약관_신한큐브종합건강상해보험(무배당_해약환급금_미지급형)_230404.pdf.md
25	신한THE착한연금미리받을수있는종신보험 현재 공제되는 위험보험료를 알려주세요	STATUS: insufficient\n\n제공된 근거만으로는 **신한THE착한연금미리받을수있는종신보험의 현재 공제되는 위험보험료**를 확인할 수 없습니다.\n\n근거:\n- **031-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_사업방법서_161004.pdf-1.md / １ . 보험종목의 명칭 및 보험형태**: 상품명과 보험형태만 확인됨\n- **032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md / 신한THE착한연금미리받을수있는종신보험 (무배당, 저해지환급형) 주요내용 요약서**: 약관 요약 안내만 있으며 위험보험료 금액 정보는 없음\n\n위험보험료는 가입조건, 계약내용, 경과기간 등에 따라 달라질 수 있어, 현재 제공된 문맥만으로는 답변할 수 없습니다.	031-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_사업방법서_161004.pdf-1.md, 032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md, 038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 001-(무)종신보험표준형_20210101_산출방법서.doc-1.md, 035-약관_(무)신한유니버설종신보험_080312.pdf-1.md, 판매약관_신한큐브종합건강상해보험_230404.pdf.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 판매약관_신한큐브종합건강상해보험(무배당_해약환급금_미지급형)_230404.pdf.md
26	신한THE착한연금미리받을수있는종신보험에서 보험료 납입기간 중에 해지하면 환급금이 적은데 이유가 뭔가요?	신한THE착한연금미리받을수있는종신보험에서 보험료 납입기간 중 해지환급금이 적은 이유는 약관상 다음과 같습니다.\n\n- 납입한 보험료 전부가 적립되는 것이 아니라,\n  - 위험보장을 위한 보험료\n  - 계약체결비용\n  - 계약관리비용  \n  등을 차감한 후 운용·적립되기 때문입니다.\n- 또 해지 시에는 적립금에서 이미 지출한 계약체결비용 해당액을 차감하는 경우가 있기 때문입니다.\n\n추가로, 이 상품은 **저해지환급형**이어서 보험료 납입기간 중 해지하면 환급금이 더 낮습니다.\n\n- **50%형**: 일반형(100%형) 해지환급금의 **50%**\n- **70%형**: 일반형(100%형) 해지환급금의 **70%**\n\n다만, **보험료 납입기간이 완료된 이후 해지하는 경우에는 일반형(100%형) 해지환급금과 동일**하다고 되어 있습니다.\n\n근거:\n- `032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md` > `2. 해지환급금 관련 유의사항`\n- `031-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_사업방법서_161004.pdf-1.md` > `▣ 해지환급금 및 환급률 비교`	032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md, 031-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_사업방법서_161004.pdf-1.md, 001-(무)종신보험표준형_20210101_산출방법서.doc-1.md, 판매약관_신한큐브종합건강상해보험_230404.pdf.md
27	신한THE착한연금미리받을수있는종신보험 보험료 납입하다가 연금으로 전환이 되는것으로 아는데 연금전환하면 전환 후의 약관 및 요율을 적용하는거 맞지요?	아니요. 제공된 약관/사업방법서 기준으로는 **연금전환 후의 약관 및 요율을 적용하는 것이 아니라, 전환 전 계약 가입시의 약관 및 기초율(보험요율)을 적용**합니다.\n\n근거:\n- **약관** `032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md`  \n  - `◆ 연금계약으로 전환 관련 유의사항`  \n  - “**전환전 계약 가입시의 약관 및 기초율(위험률, 계약관리비용)을 기준으로 연금액을 계산**”\n- **사업방법서** `031-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_사업방법서_161004.pdf-1.md`  \n  - `15. 연금전환에 관한 사항`  \n  - “**전환전계약 가입시의 약관 및 보험요율을 적용**”\n\n다만 예외가 있습니다.\n- **종신연금형**은 연금전환 시 **연금생명표**가 개정되어,  \n  가입당시 연금생명표로 계산한 연금액보다 **전환 당시 연금생명표**로 계산한 연금액이 더 크면,  \n  **전환 당시 연금생명표 기준의 연금액**을 지급합니다.\n\n즉, 정리하면:\n- **원칙:** 가입 당시 약관/요율 적용\n- **예외(종신연금형):** 더 유리하면 전환 당시 연금생명표 적용 가능	032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md, 031-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_사업방법서_161004.pdf-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md
28	무배당 종신보험 표준형 15년납 2006년에 가입하여, 완납된 상태입니다. 이후에도 공제되는 사업비가 있나요?	STATUS: insufficient\n\n제공된 근거만으로는 **완납 이후에도 사업비가 계속 공제되는지** 확인할 수 없습니다.\n\n확인된 내용은 다음뿐입니다.\n- **문서명:** `023-무배당종신보험_사업방법서_060401.doc-1.md`\n- **항목:** `보험료 납입기간 및 가입나이`\n  - 무배당 종신보험 표준형에 **15년납**이 존재함\n- **항목:** `보험료 할인 > 고액계약`\n  - 보험가입금액에 따른 **영업보험료 할인율**\n- 그 외 메디케어형 서비스 제공 내용\n\n하지만 **사업비 공제 시점, 완납 후 공제 여부**에 대한 조항은 제공된 context에 없습니다.  \n약관이나 사업비 관련 조항이 있는 문서가 추가로 필요합니다.	023-무배당종신보험_사업방법서_060401.doc-1.md, 035-약관_(무)신한유니버설종신보험_080312.pdf-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 029-사업방법서__무_신한유니버설종신보험_080312.md, 002-_무_종신보험표준형_20210101_약관.md, 001-(무)종신보험표준형_20210101_산출방법서.doc-1.md, 031-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_사업방법서_161004.pdf-1.md
29	무배당 종신보험 표준형으로 현재 실효가 된 상태입니다. 부활시 부활이자는 어떻게 되나요?	STATUS: insufficient\n\n제공된 근거만으로는 **무배당 종신보험 표준형의 실효 후 부활 시 적용되는 부활이자**를 확인할 수 없습니다.\n\n확인된 내용은:\n- **`032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md` / `◦ 부활`**: 부활(효력회복) 시 암보장개시일이 부활일 포함 90일 경과 다음 날이라는 내용만 있습니다.\n- **`002-_무_종신보험표준형_20210101_약관.md` / `무배당 종신보험 표준형 약관`**: 목차만 보이며, 부활이자 관련 조항 본문은 제공되지 않았습니다.\n- **`023-무배당종신보험_사업방법서_060401.doc-1.md` / `보험료 할인 > 고액계약`**: 보험료 할인 내용으로, 부활이자와는 관련이 없습니다.\n\n따라서 현재 자료만으로는 부활이자가 **얼마인지 또는 어떤 기준으로 계산되는지 알 수 없습니다.**	023-무배당종신보험_사업방법서_060401.doc-1.md, 032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md, 002-_무_종신보험표준형_20210101_약관.md, 025-무배당종신보험표준형_약관_060401.pdf-1.md, 011-300227_계약사항 변경 업무기준 요약표.docx-1.md
30	무배당 종신보험 표준형 가입한 고객입니다. 선납시 보험료 할인이 있나요?	무배당 종신보험 표준형은 **선납 시 보험료 할인이 있습니다.**\n\n- 근거: **023-무배당종신보험_사업방법서_060401.doc-1.md > 보험료 할인 > 보험료선납**\n- 내용: **“3개월분 이상의 보험료를 선납할 때에 한하며 할인율은 예정이율로 함.”**\n\n즉,\n- **3개월분 이상 선납하는 경우에만**\n- **예정이율 기준으로 할인**됩니다.	023-무배당종신보험_사업방법서_060401.doc-1.md, 002-_무_종신보험표준형_20210101_약관.md, 031-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_사업방법서_161004.pdf-1.md, 024-무배당종신보험표준형_산출방법서_060401.doc-1.md, 032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md
31	신한진심을품은변액유니버설종신을 연금으로 전환시 연금액은 어떻게 산출이 되나요?	STATUS: insufficient\n\n제공된 근거에는 **「038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf」의 `전환사채` 항목 정의**만 있으며,  \n질문하신 **연금 전환 시 연금액 산출 기준**에 대한 내용은 확인되지 않습니다.\n\n따라서 현재 context만으로는 **신한진심을품은변액유니버설종신을 연금으로 전환할 때 연금액이 어떻게 산출되는지** 답변할 수 없습니다.	032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 031-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_사업방법서_161004.pdf-1.md, 038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 023-무배당종신보험_사업방법서_060401.doc-1.md
32	신한진심을품은변액유니버설종신에서 중도인출시 언제 지급되나요?	STATUS: insufficient\n\n제공된 근거(문서: `007-300138_라이프앱가능업무.docx-1.md`, 섹션: `② 보험금신청(사고보험금 / 일반보험금)`)에는 중도인출 관련해  \n- 당일 중도인출 신청 가능 보험은 당일 1회 신청 가능  \n- 대출금이 인출한도를 초과하면 최소상환금 납입 후 차액 지급  \n\n내용만 있고, **중도인출 신청 후 언제 지급되는지(지급 시점)** 는 명시되어 있지 않습니다.	035-약관_(무)신한유니버설종신보험_080312.pdf-1.md, 023-무배당종신보험_사업방법서_060401.doc-1.md, 011-300227_계약사항 변경 업무기준 요약표.docx-1.md, 033-약관_(무)S-MORE신한저축보험_110601.pdf-1.md, 007-300138_라이프앱가능업무.docx-1.md, 010-300200_법인계약 고객센터 상담 기준.docx-1.md, 012-300233_계약관계자변경.docx-1.md
